date,billbuy,billsell,spotbuy,spotsell
2016-09-06,31.065,31.607,31.365,31.465
2016-09-07,30.88,31.422,31.18,31.28
2016-09-08,30.935,31.477,31.235,31.335
2016-09-09,31.15,31.692,31.45,31.55
2016-09-10,31.2,31.742,31.5,31.6
2016-09-12,31.35,31.892,31.65,31.75
2016-09-13,31.345,31.887,31.645,31.745
2016-09-14,31.325,31.867,31.625,31.725
2016-09-19,31.08,31.622,31.38,31.48
2016-09-20,31.015,31.557,31.315,31.415
2016-09-21,31.075,31.617,31.375,31.475
2016-09-22,31.05,31.592,31.35,31.45
2016-09-23,30.97,31.512,31.27,31.37
2016-09-26,31.07,31.612,31.37,31.47
2016-09-27,31.07,31.612,31.37,31.47
2016-09-29,31.005,31.547,31.305,31.405
2016-09-30,31.01,31.552,31.31,31.41
2016-10-03,30.97,31.512,31.27,31.37
2016-10-04,30.99,31.532,31.29,31.39
2016-10-05,31.005,31.547,31.305,31.405
2016-10-06,31.05,31.592,31.35,31.45
2016-10-07,31.12,31.662,31.42,31.52
2016-10-11,31.255,31.797,31.555,31.655
2016-10-12,31.27,31.812,31.57,31.67
2016-10-13,31.39,31.932,31.69,31.79
2016-10-14,31.31,31.852,31.61,31.71
2016-10-17,31.415,31.957,31.715,31.815
2016-10-18,31.3,31.842,31.6,31.7
2016-10-19,31.165,31.707,31.465,31.565
2016-10-20,31.175,31.717,31.475,31.575
2016-10-21,31.265,31.807,31.565,31.665
2016-10-24,31.325,31.867,31.625,31.725
2016-10-25,31.25,31.792,31.55,31.65
2016-10-26,31.205,31.747,31.505,31.605
2016-10-27,31.275,31.817,31.575,31.675
2016-10-28,31.265,31.807,31.565,31.665
2016-10-31,31.21,31.752,31.51,31.61
2016-11-01,31.205,31.747,31.505,31.605
2016-11-02,31.2,31.742,31.5,31.6
2016-11-03,31.115,31.657,31.415,31.515
2016-11-04,31.11,31.652,31.41,31.51
2016-11-07,31.165,31.707,31.465,31.565
2016-11-08,31.145,31.687,31.445,31.545
2016-11-09,31.08,31.622,31.38,31.48
2016-11-10,31.235,31.777,31.535,31.635
2016-11-11,31.44,31.982,31.74,31.84
2016-11-14,31.59,32.132,31.89,31.99
2016-11-15,31.49,32.032,31.79,31.89
2016-11-16,31.495,32.037,31.795,31.895
2016-11-17,31.49,32.032,31.79,31.89
2016-11-18,31.64,32.182,31.94,32.04
2016-11-21,31.635,32.177,31.935,32.035
2016-11-22,31.56,32.102,31.86,31.96
2016-11-23,31.52,32.062,31.82,31.92
2016-11-24,31.575,32.117,31.875,31.975
2016-11-25,31.585,32.127,31.885,31.985
2016-11-28,31.45,31.992,31.75,31.85
2016-11-29,31.465,32.007,31.765,31.865
2016-11-30,31.52,32.062,31.82,31.92
2016-12-01,31.53,32.072,31.83,31.93
2016-12-02,31.555,32.097,31.855,31.955
2016-12-05,31.63,32.172,31.93,32.03
2016-12-06,31.58,32.122,31.88,31.98
2016-12-07,31.535,32.077,31.835,31.935
2016-12-08,31.4,31.942,31.7,31.8
2016-12-09,31.47,32.012,31.77,31.87
2016-12-12,31.505,32.047,31.805,31.905
2016-12-13,31.465,32.007,31.765,31.865
2016-12-14,31.43,31.972,31.73,31.83
2016-12-15,31.56,32.102,31.86,31.96
2016-12-16,31.59,32.132,31.89,31.99
2016-12-19,31.6,32.142,31.9,32
2016-12-20,31.65,32.192,31.95,32.05
2016-12-21,31.655,32.197,31.955,32.055
2016-12-22,31.665,32.207,31.965,32.065
2016-12-23,31.8,32.342,32.1,32.2
2016-12-26,31.83,32.372,32.13,32.23
2016-12-27,31.92,32.462,32.22,32.32
2016-12-28,31.945,32.487,32.245,32.345
2016-12-29,31.93,32.472,32.23,32.33
2016-12-30,31.9,32.442,32.2,32.3
